4.51 	3.85 	11.33 
56.07 	50.63 	124.61 
44.47 	40.05 	166.09 
4.47 	4.48 	11.77 
24.30 	21.33 	83.65 
17.82 	17.63 	60.19 
24.16 	22.13 	26.33 
38.34 	32.35 	158.93 
34.33 	28.14 	59.01 
7.94 	6.11 	26.38 
17.40 	20.36 	24.77 
12.34 	12.08 	10.69 
11.82 	9.08 	54.01 
15.50 	16.95 	39.53 
15.77 	11.95 	17.09 
44.87 	46.49 	44.09 
19.69 	15.68 	48.50 
11.34 	9.33 	49.48 
109.55 	111.68 	316.22 
87.91 	85.05 	277.10 
45.21 	43.59 	131.21 
12.46 	11.60 	38.87 
1.55 	1.42 	4.62 
0.54 	0.53 	1.27 
124.50 	130.78 	323.73 
