7.96 	6.29 	12.15 
28.31 	22.07 	48.31 
22.04 	15.36 	79.97 
9.07 	9.33 	15.31 
23.58 	15.48 	81.60 
22.92 	21.32 	67.98 
25.14 	19.73 	12.71 
20.23 	10.61 	91.60 
22.28 	13.82 	30.55 
9.42 	5.49 	31.13 
24.49 	27.16 	28.93 
24.48 	22.04 	18.84 
11.93 	5.36 	59.50 
9.97 	13.03 	15.51 
12.90 	7.92 	12.75 
30.23 	30.60 	16.58 
23.37 	14.27 	57.16 
14.25 	10.81 	56.54 
65.37 	52.93 	162.98 
44.85 	36.11 	114.51 
24.32 	19.53 	61.82 
14.12 	11.36 	35.73 
6.19 	4.99 	15.67 
2.65 	2.12 	6.75 
69.44 	55.26 	179.63 
