38.76	13.81	14.69
65.15	19.21	17.92
49.61	-4.20	-21.33
43.54	-12.89	22.66
55.52	8.78	-24.31
70.42	-32.39	-0.48
50.86	-27.78	-27.68
95.09	-0.77	3.54
88.69	-0.50	1.25
83.46	-0.88	1.92
76.31	-0.89	1.33
63.13	35.43	57.84
52.85	49.90	-12.86
69.43	-0.78	0.74
61.66	-0.89	0.73
55.98	-0.84	0.66
48.54	-0.67	0.38
40.08	10.25	-44.77
82.02	3.28	78.75
40.92	-0.59	0.28
31.38	-0.44	-0.17
24.07	0.35	-0.35
22.31	0.18	-0.16
51.75	47.36	16.93
43.48	50.74	29.13
55.60	-38.46	32.19
29.51	13.42	-47.69
72.10	19.51	67.85
72.50	-22.92	56.08
30.32	22.13	-19.02
