48.1919	-3.1365	-23.6234	
43.0603	50.5826	28.8756	
53.0559	-35.3371	29.8073	
30.3641	12.4321	-47.0789	
40.9660	-12.0032	19.5960	
53.1638	9.8013	-25.5687	
48.9597	-26.4302	-29.4522	
49.9776	50.1093	-14.2284	
79.3603	5.3817	77.3365	
69.1615	-30.8145	-2.1686	
36.6900	12.8996	13.3310	
64.0735	18.0792	16.5269	
70.4981	-21.1496	55.6842	
69.3613	20.2963	65.4372	
60.1840	35.7073	55.1269	
58.0330	1.2916	-9.9941	
57.7688	4.7347	6.6791	
38.2186	10.2829	-45.3725	
50.1830	47.4856	15.9502	
28.6814	20.9210	-22.7032	
